"ID_edificio";"Descrizione_edificio";"ID_sensore";"Tipo_misura";"Nome_sito";"Data_rilevazione";"Valore_misura";"Unita_misurazione"
"2016-22-007488-A/1159";"L1-007-044 I. d_arte Passoni";"2016-22-007488-A/4492";"Sensor1";"PASSONI Della Rocca";"12/11/2021 21:00";"18,76";"°C"
"2016-22-007488-A/1604";"L1-007-109 Succ UBERTINI di Caluso";"2016-22-007488-A/6575";"Sensor1";"UBERTINI SUCC2 (Chivasso)";"12/11/2021 22:00";"19,35";"°C"
"2016-22-007488-A/1605";"L1-007-105 ITIS CASALE Ex DA VINCI";"2016-22-007488-A/6578";"Sensor1";"EUROPA UNITA";"13/11/2021 02:00";"17,47";"°C"
"2016-22-007488-A/1223";"L1-007-156 LA PRIMO";"2016-22-007488-A/4762";"Sensor1";"1° LICEO ARTISTICO";"13/11/2021 13:00";"18,82";"°C"
"2016-22-007488-A/1240";"L1-007-047 IPC Boselli_ITC Sella";"2016-22-007488-A/4823";"Sensor1";"PLESSO SELLA-BOSELLI";"13/11/2021 11:00";"20,21";"°C"
"2016-22-007488-A/1341";"L1-007-165-166 IPIA GOBETTI_L Europeo_ITC ARD";"2016-22-007488-A/5301";"Sensor1";"PLESSO FIGLIE DEI MILITARI";"13/11/2021 13:00";"21,05";"°C"
"2016-22-007488-A/1283";"L1-007-130 ITIS PININFARINA";"2016-22-007488-A/5033";"Sensor1";"PININFARINA";"13/11/2021 04:00";"18,80";"°C"
"2016-22-007488-A/1458";"L1-007-141 Succursale Ferraris  CTP";"2016-22-007488-A/5755";"Sensor1";"PLESSO 8 MARZO-FERRARIS";"13/11/2021 17:00";"15,88";"°C"
"2016-22-007488-A/1883";"L1-007-059 LC Cavour";"2016-22-007488-A/7750";"Sensor1";"CAVOUR Tassoni";"13/11/2021 10:00";"20,32";"°C"
"2016-22-007488-A/1004";"L1-007-009 I.P. Agrario Ubertini Sede Coordinata";"2016-22-007488-A/3797";"Sensor1";"BALDESSANO-ROCCATI 2 Sales";"17/11/2021 07:00";"19,56";"°C"
